,word,adult_definition,kids_definition,simplified,similarity
1101,meteorologist,'Someone who studies the weather professional.',a scientist who studies the earth's atmosphere and its changes used especially in predicting what the weather will be like,A scientist who studies the air around the earth and how it changes helps predict the weather.,0.93705434
1102,palindrome,'A symmetrical word that read from left to right is the same as when read right to left.','a word or phrase that reads the same backwards as forwards for example madam or nurses run',"A special word is spelled the same forwards and backwards like ""madam"" or ""nurses run"".",0.8580266
1103,apocope,'A figure in which the last syllable of a word is omitted mainly used in poetry in order to improve rhythm or rhyme.','the dropping of the last sound or sounds of a word for example when cup of tea becomes cuppa tea',"When we say 'cup of tea', it becomes 'cuppa tea' because we drop the last sound.",0.84332186
1104,musicology,'The scientific study of music at university level.','the study of the history and theory of music',"A long time ago, people learned about music history and music ideas in school and on their own.",0.61017287
1105,menorah,'A candelabrum with seven branches a traditional symbol of Judaism','a traditional Jewish object to hold seven or nine candles','a Jewish object holds seven or nine candles' ,0.9354371
1106,omega,'The last letter of the modern and of the classical Greek alphabet. Uppercase version: Ω; lowercase: ω.','the last letter of the Greek alphabet (Ω ω)',The Greek alphabet has 24 letters and Omega is the last one.,0.7434385
1107,moonless,'Without a visible moon without moonshine.','without a moon that can be seen',There is no moon that we can see.,0.7578152
1108,filtrate,'To separate or isolate components from one another with the help of a filter.','a liquid that has passed through a filter',A liquid that has gone through a filter.,0.85843015
1109,earthling,'An inhabitant of planet Earth.','(in science fiction stories) a word used by creatures from other planets to refer to a person living on the earth',A word that aliens use to talk about someone from Earth.,0.8089187
1110,warthog,'African suid (Phacochoerus africanus) having two tusks.','an African wild pig with two large outer teeth called tusks and growths like warts on its face','a wild pig with big teeth and warts on its face'.,0.9001184
1111,timpani,'A brass percussion instrument with a defined pitch.','a set of large metal drums (also called kettledrums) in an orchestra',"A big drum in an orchestra can make different sounds, from low rumble to loud crash.",0.7553155
1112,champagne,'A sparkling white wine made from a blend of grapes especially Chardonnay and pinot produced in Champagne by the méthode champenoise.','a sparkling white wine (= one with bubbles) produced in the Champagne region of France typically drunk on special occasions',"A special wine from France, usually drunk on happy days.",0.81141096
1113,firecracker,'A firework consisting of a string of bangers linked by a fuse designed to emit a series of loud bangs when lit.','a small firework that explodes with a loud noise',The firework exploded loudly.,0.61381966
